N	Result
0	Error: Invalid range (0-0) for variable "beta" ("[0..N]", line 33, column 10).
1	[(0.0, 0.4820532228507689)]
2	[(0.43647720152428615, 1.1822528137617612)]
3	[(0.4808664792566454, 1.6024466120334797), (0.6631192080770117, 1.5594195609953356), (0.6633391209878176, 1.559216499478303)]
4	[(0.5567053702395229, 1.9799098559172497), (0.7084146850051719, 1.9440936326341558), (0.8178641916130283, 1.7773585242560073), (0.8179958446538322, 1.77699783640072)]
5	[(0.6191669683224287, 2.3027134543836008), (0.7454515860377975, 2.2728996089232827), (0.7489084889611595, 2.2710507266518607), (0.8399725587136869, 2.132124575371628), (0.8929471989179405, 1.893616362940512)]
6	[(0.6780379759197068, 2.580217305935987), (0.7831876206259902, 2.5553965384248984), (0.7859865443171855, 2.554014370758847), (0.8619664501205244, 2.438291128352882), (0.863281185069387, 2.434560852192723), (0.907370840995755, 2.2359928627851176), (0.939201587216536, 1.9659028673549017), (0.9399732526000559, 1.8735331075511052)]
7	[(0.7268327055716821, 2.8162724118424722), (0.8151263169373049, 2.7954324572417795), (0.8176904436411269, 2.794165493830066), (0.8179357676477658, 2.7939040259034345), (0.8810640508063801, 2.6975738009004973), (0.883129684600932, 2.691189097572689), (0.9202776356632557, 2.523270890346352), (0.9467845769129006, 2.298369383858444), (0.9468300980364318, 2.2978117557792923), (0.9630648375052214, 2.0066250287334317), (0.9649302372165744, 1.869703076801298)]
8	[(0.7684846728412418, 3.017208214303965), (0.8424851877464689, 2.9997429156068485), (0.8449743827144847, 2.9984123796191886), (0.8979197177587754, 2.9176913575756425), (0.8980152158149903, 2.9174737227453895), (0.9007935329154753, 2.9084226951091683), (0.9317511641438583, 2.768424810007743), (0.9538158543855229, 2.581190531427547), (0.9676165136816036, 2.333865231041547), (0.97959289877419, 1.9384408413595773), (0.9805227582624934, 1.872480676682113)]
9	[(0.8037908518621768, 3.187957074032256), (0.8658526624923062, 3.1733102532762247), (0.8680881262660389, 3.1721160197701064), (0.9718076293825878, 2.6048767533284947), (0.9599066326736396, 2.820831114310253), (0.9886738324182668, 1.8760431129760482), (0.9124636999486524, 3.104461576298295), (0.9148390388064196, 3.0971008948782246), (0.9415275996405692, 2.976769358123897)]
10	[(0.8337533110672279, 3.3329539386555203), (0.8858524890748527, 3.3206604682244754), (0.8878484052795297, 3.319565943690566), (0.9837453833464446, 2.56263661906915), (0.9653117894303784, 3.0228610457530127), (0.9931986851058903, 1.8781194982022769), (0.9250324153894287, 3.2628710885200167), (0.9272792604870503, 3.2558939449860786), (0.9498527274210837, 3.154147028696096)]
11	[(0.8591244283409961, 3.4560054554529844), (0.9569869132529611, 3.30462396944153), (0.9358358261787123, 3.39713468654397), (0.9781783058002145, 3.0466079813230067), (0.9903353867043132, 2.529689798661229), (0.9956086358010865, 1.8800321669697542), (0.9028843117635561, 3.4456807506146117), (0.9044542691789037, 3.444908453484909), (0.9046240413256041, 3.4447236217381656)]
12	[(0.8806101563676503, 3.560402672605899), (0.9630702157560151, 3.432462049659047), (0.9450994085354409, 3.510927974952544), (0.9813047005555837, 3.204159540008097), (0.9911647415008191, 2.779577151172952), (0.9969852482189777, 1.8817497797159506), (0.9173795787227064, 3.551727947813763), (0.9187353357567842, 3.5510610555731805), (0.9188855613499013, 3.5508965003617403)]
13	[(0.8987998010237608, 3.6489575871696944), (0.9308715555942486, 3.6410932634015776), (0.9530288469524997, 3.60736573242614), (0.9941837464055474, 2.774851987711133), (0.9885087557898466, 3.1873052267925237), (0.9977759485763246, 1.8832087244068418), (0.9682232654778166, 3.5412260414690726), (0.9773927301844442, 3.4634414811855465), (0.9833016967160694, 3.357187636202113)]
14	[(0.9141979079085087, 3.724070877065695), (0.94118187819674, 3.7174499593999393), (0.9598101978510707, 3.6890954632150486), (0.9803893930695873, 3.567711044389656), (0.9898171378516698, 3.333217917276853), (0.9958036718594853, 2.785574092520992), (0.998263020473902, 1.884438005820095)]
15	[(0.9272322432478344, 3.787786258159311), (0.9499390108627328, 3.782211812511264), (0.965605273753346, 3.758366893777664), (0.9829789462509206, 3.6560135174719095), (0.9909547160581982, 3.457712810773026), (0.9959945997160569, 2.9965581506047014), (0.9985822857483388, 1.885503487120129)]
16	[(0.9382663752178471, 3.841840904657841), (0.9573766009652014, 3.837147201708544), (0.9705552849680025, 3.817089277652951), (0.9852438210265977, 3.730436018519975), (0.994003839608727, 3.446050770183648), (0.9969066092782108, 2.9997066991160546), (0.9988089713962032, 1.8864325380863887)]
