multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
11	0.036254965278089746
12	0.02688170348257507
13	0.019963598736134062
14	0.014770307410686741
15	0.010902797324873212
16	0.008059885199008994
17	0.0059682286431826295
18	0.004418530133708247
19	0.003268157485318769
20	0.002416926705435925
21	0.0017882645928498741
22	0.001323459916216308
23	9.793037405212127E-4
24	7.245110879950502E-4
25	5.360300889842559E-4
26	3.9662870271928803E-4
27	2.9348681862254153E-4
28	2.1715521523008692E-4
29	1.6067218944572776E-4
30	1.1888331846836859E-4

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ (F k=N)&(G pc!=-2) ]/Pmin=? [ (F k=N) ]:
N	Result
1	0.9980280455740579
2	0.6253690170723127
3	0.6989565969315786
4	0.664129097215258
5	0.657408010315935
6	0.6271280581060906
7	0.6163396021098968
8	0.5936765308370165
9	0.5619625953412775
10	0.5343744280640406
11	0.5135909865265791
12	0.4912306785309512
13	0.4670347688101066
14	0.4442863976394871
15	0.4241786333381689
16	0.40516929344727365
17	0.38632483354496955
18	0.36807159270281387
19	0.3509348071250089
20	0.3347764518598408
21	0.31926753157673504
22	0.3043512932392035
23	0.2901396176059268
24	0.276650467335031
25	0.2637962444435501
26	0.2515086765233932
27	0.23977876709105625
28	0.22860503173388275
29	0.21796016071568497
30	0.20780743206378394

Pmax=? [ pc!=-2 U<=N false ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ pc>0 U k=N ]:
N	Result
1	1.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
