multi(Pmax=? [ F pc=-1 ], R{"defaultControllerUsed"}max=? [ C ]):
N	Result
1	[(0.0, 0.010556927734841846)]
2	[(0.27604408413112075, 0.3051053504256093)]
3	[(0.5259465941959518, 0.5647844583962429), (0.5263383567482958, 0.5629472653657791)]
4	[(0.669468579578767, 0.7175084303727248), (0.6729679645550988, 0.7147044728325578)]
5	[(0.7554763629769617, 0.8142552493906483), (0.7607160588796372, 0.8106522230887093)]
6	[(0.8149601784637277, 0.8820489872167082), (0.8210684484937565, 0.8776809884496648)]
7	[(0.8577141386155533, 0.9307434422548984), (0.864103961397263, 0.9251980819897823)]
8	[(0.8860728274732191, 0.967885975184456), (0.8957908942667647, 0.9599937888747764)]
9	[(0.8650892099042966, 0.9988931652724402), (0.8659433415795175, 0.99888255141125), (0.9112648951738487, 0.9962853058962546), (0.9195233636814912, 0.9859729641769435)]
10	[(0.8726988150665178, 1.0334421111323955), (0.9307105541062761, 1.0182359962898138), (0.9375478577673304, 1.0058406782233575)]
11	[(0.8868131022789858, 1.0657392100069463), (0.9166335296224013, 1.058221936471908), (0.9514937618326018, 1.0212782044391437)]
12	[(0.9034061587131577, 1.094077368325213), (0.9083606368370021, 1.093824852085766), (0.9342780138071549, 1.0789028181997435), (0.9623312550228529, 1.0333091928847482)]
13	[(0.9188564884220195, 1.1181140178068998), (0.9226482587829943, 1.1179199594527365), (0.9482838491031143, 1.0952797224721147), (0.970749125348704, 1.0426827166523704)]
14	[(0.9324642438556432, 1.1383758772771344), (0.9356856511540723, 1.1382011282403468), (0.9593804687243415, 1.1083078860127302), (0.9772828080529719, 1.049979707838098)]
15	[(0.9438695597278381, 1.155340850994779), (0.9464139422878832, 1.1552011976447472), (0.9681293541636551, 1.1186383837215188), (0.982352232677967, 1.0556564190936273)]
16	[(0.9529372378111939, 1.1695349425938444), (0.9554333504479676, 1.1693943529631663), (0.9696950214541245, 1.14684172430747), (0.9862851356959493, 1.0600712474538978)]
17	[(0.9604736914564305, 1.181470425618703), (0.9626009855483024, 1.1813502354202994), (0.9762359268296668, 1.1546088024510106), (0.9893370471297347, 1.0635047435922784)]
18	[(0.9667067120496515, 1.1915153714944586), (0.9684991585882294, 1.1914143890825672), (0.9809715728823165, 1.1630179654633896), (0.9917062733299435, 1.0661756857615414)]
19	[(0.9718745758712182, 1.1999859574352292), (0.9735839790496403, 1.1998754006621928), (0.9834492090588742, 1.1790674423847363), (0.993546486078523, 1.0682541919773842)]
20	[(0.9761774914095512, 1.2071445932690796), (0.9776435753106985, 1.2070501184928293), (0.9870354681280387, 1.183259140102119), (0.9949765756821933, 1.0698722905967921)]
21	[(0.9797940324128509, 1.2132066192491058), (0.981048315764236, 1.2131260467875875), (0.9896256118065309, 1.188736572927898), (0.9960885002731696, 1.071132408387653)]
22	[(0.9828567249088416, 1.218345582258455), (0.9839235530336301, 1.2182771895306437), (0.9914249553507961, 1.1966503931335306), (0.9969534269774596, 1.0721140407237861)]
23	[(0.9854621433705882, 1.2227030639942575), (0.9863878055170536, 1.2226417287532656), (0.9932465831686954, 1.199352939504921), (0.9976264837050945, 1.0728789307130444)]
24	[(0.9876805889022674, 1.2263966461303892), (0.9884615999698687, 1.2263448531277992), (0.994635589375716, 1.202362442174876), (0.9981504131476324, 1.0734750681741676)]
