multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
N	Result
1	[(0.0, 0.4820532228507689)]
2	[(0.013181524685561543, 0.730089439203006), (0.004863536923252507, 0.93999876596086)]
3	[(0.013754670136033138, 0.7750875556364496), (0.005095399585173392, 0.965708933109046), (0.0, 0.96590142943759)]
4	[(0.014227624279269293, 0.9819272900317881), (0.0, 0.982167035236426), (0.08727130243502779, 0.8921708706452609), (0.08749555449874183, 0.887234284239377)]
5	[(0.09288752390558061, 0.9028201590946623), (0.014483293245377045, 0.9847665619342161), (0.0, 0.9856145375511076)]
6	[(0.012780753262097266, 0.9869936487086661), (0.0, 0.9871660860025595), (0.09335700536594405, 0.9060339646030096), (0.0933964822118995, 0.9050382277055891)]
7	[(0.011976288507068219, 0.9878925416803261), (0.0, 0.9879774641595902), (0.09339578568306887, 0.9064064601782831), (0.09343949584218643, 0.9054353309246712)]
8	[(0.09379134622063078, 0.9060945467513204), (0.01155765267910576, 0.9883718300645674), (0.0, 0.9884181093012208)]
9	[(0.09384597427526865, 0.9061251279594711), (0.01133268787183314, 0.9886297100692034), (0.0, 0.9886553422622746)]
10	[(0.0938516598071987, 0.9061433624140216), (0.011210321460534379, 0.9887695314441194), (0.0, 0.9887834480094879)]
11	[(0.09385228230945088, 0.906146396489103), (0.011143878572596135, 0.9888452469219791)]
12	[(0.09385423305728252, 0.906145117898415), (0.011107826609751887, 0.9888862860128391)]
13	[(0.09385463482729146, 0.9061451789902797), (0.01108826928544968, 0.9889085396355115)]
14	[(0.09385468915399231, 0.9061452736294004), (0.011077659952486501, 0.9889206096342174)]
15	[(0.09385468915399231, 0.9061452736294004), (0.011071904676466654, 0.9889271567872204)]
16	[(0.09385468915399231, 0.9061452736294004), (0.011068782603999749, 0.9889307083077106)]
17	[(0.09385469618323364, 0.9061452947377817), (0.011067088973260397, 0.988932634871351)]
18	[(0.09385470612853312, 0.9061452900688216), (0.011066170230357667, 0.9889336799661115)]
19	[(0.09385470612853312, 0.9061452900688216), (0.01106567184063996, 0.9889342468961169)]
20	[(0.09385470612853312, 0.9061452900688216), (0.011065401479622964, 0.9889345544377135)]
21	[(0.09385470612853312, 0.9061452900688216), (0.011065254817139733, 0.9889347212694122)]
22	[(0.09385470612853312, 0.9061452900688216), (0.011065170517324563, 0.9889348117510053)]
23	[(0.09385470612853312, 0.9061452900688216), (0.011065129527247582, 0.988934860853873)]
24	[(0.09385470612853312, 0.9061452900688216), (0.011065107291400613, 0.9889348874906561)]
25	[(0.09385470612853312, 0.9061452900688216), (0.011065095229142587, 0.9889349019402849)]
26	[(0.09385470612853312, 0.9061452900688216), (0.011065095985800227, 0.9889349019433837)]
27	[(0.09385470612853312, 0.9061452900688216), (0.011065095985800227, 0.9889349019433837)]
28	[(0.09385470612853312, 0.9061452900688216), (0.011065095985800227, 0.9889349019433837)]
29	[(0.09385470612853312, 0.9061452900688216), (0.011065095985800227, 0.9889349019433837)]
30	[(0.09385470612853312, 0.9061452900688216), (0.011065095985800227, 0.9889349019433837)]

Pmax=? [ (F pc=-1)&(G pc!=-2) ]:
N	Result
1	0.0
2	0.013181524685561543
3	0.013754670136033138
4	0.08749555449874183
5	0.09289333143726408
6	0.0933964822118995
7	0.09343949584218643
8	0.09379544011040633
9	0.09384625358295408
10	0.09385187504212737
11	0.09385250817638649
12	0.09385426864595672
13	0.09385463855851822
14	0.09385469048406624
15	0.09385469048406624
16	0.09385469048406624
17	0.09385469737097117
18	0.09385470638449638
19	0.09385470638449638
20	0.09385470638449638
21	0.09385470638449638
22	0.09385470638449638
23	0.09385470638449638
24	0.09385470638449638
25	0.09385470638449638
26	0.09385470638449638
27	0.09385470638449638
28	0.09385470638449638
29	0.09385470638449638
30	0.09385470638449638

Pmax=? [ (F pc=-1) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.04883663924315904
3	0.06115566515208012
4	0.5427445889731751
5	0.754113330366592
6	0.9138948308841909
7	0.9830990429626583
8	0.9951192910161
9	0.9981186409357996
10	0.9994198701276062
11	0.9998776801292029
12	0.9999679078936693
13	0.999988635699419
14	0.9999957347189355
15	0.9999957347189355
16	0.9999957347189355
17	0.9999958080970004
18	0.9999959041336152
19	0.9999959041336152
20	0.9999959041336152
21	0.9999959041336152
22	0.9999959041336152
23	0.9999959041336152
24	0.9999959041336152
25	0.9999959041336152
26	0.9999959041336152
27	0.9999959041336152
28	0.9999959041336152
29	0.9999959041336152
30	0.9999959041336152

Pmax=? [ (F pc=-1)&(G pc!=-2) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.04883663924315904
3	0.06115566515208012
4	0.5427445889731751
5	0.754113330366592
6	0.9138948308841909
7	0.9830990429626583
8	0.9951192910161
9	0.9981186409357996
10	0.9994198701276062
11	0.9998776801292029
12	0.9999679078936693
13	0.999988635699419
14	0.9999957347189355
15	0.9999957347189355
16	0.9999957347189355
17	0.9999958080970004
18	0.9999959041336152
19	0.9999959041336152
20	0.9999959041336152
21	0.9999959041336152
22	0.9999959041336152
23	0.9999959041336152
24	0.9999959041336152
25	0.9999959041336152
26	0.9999959041336152
27	0.9999959041336152
28	0.9999959041336152
29	0.9999959041336152
30	0.9999959041336152

Pmax=? [ (F pc=-1) ]:
N	Result
1	0.0
2	0.013181524685561543
3	0.013754670136033138
4	0.08749555449874183
5	0.09289333143726408
6	0.0933964822118995
7	0.09343949584218643
8	0.09379544011040633
9	0.09384625358295408
10	0.09385187504212737
11	0.09385250817638649
12	0.09385426864595672
13	0.09385463855851822
14	0.09385469048406624
